X,Tooth,dMeasd,ci_length,lower_CI,upper_CI,mean,Layer
61,AXL66,17.0724400005605,15,14.1208931441202,17.1149609863234,15.5726957783649,III
62,AXL66,18.0424993264969,17,15.6417389706553,18.6787907329503,17.057340976231,III
63,AXL66,17.2701850661482,18.7,12.1627104971193,15.4401625958722,13.8676893313942,III
64,AXL66,17.9521073916811,22.7,14.888946425726,17.7714069400908,16.3552137471392,III
65,AXL66,18.1271287563874,25.1,16.4009399760557,19.2757773193076,17.7401254578123,III
66,AXL66,18.821138548853,28.7,17.0111715048047,20.568492755114,18.7045935721819,III
67,AXL66,19.4214629255327,29.9,16.584243141364,21.8280185371482,19.7132448845408,III
68,AXL66,17.9187085946007,33.5,16.6560388236912,19.4853091527165,18.1577409197721,III
69,AXL66,17.8936174341182,37.2,17.362662363142,20.9385186631557,19.1092347533803,III
70,AXL66,18.2161005660616,37.9,15.7820077253884,20.7515679019185,18.7660393813985,III
71,AXL66,17.3786512972527,38.9,15.066655865155,19.5094837793209,17.8982442735259,III
72,AXL70,15.8492816816657,2.6,15.1793495692589,17.0397856962022,16.0824360566846,IV
73,AXL70,15.8492816816657,3.1,14.7323604369925,17.3900427347588,16.0252612675833,IV
74,AXL70,15.2922551702496,7,10.8528308515877,14.8617796858791,12.7747485425104,IV
75,AXL70,15.0578205453994,10.5,7.62773376265519,12.3680691349968,10.1405527559161,IV
76,AXL70,14.7826533483104,11.8,7.58147211289331,14.284923627842,10.28757605334,IV
77,AXL70,16.0960400987028,12.7,11.8592969635681,16.8368410859623,14.13377454847,IV
78,AXL70,17.7404922298088,15.8,14.6455409603986,18.2840970780891,16.5097316092639,IV
79,AXL70,18.1218687189276,16.5,15.2374495444651,18.3306406881124,16.7679385336979,IV
80,AXL70,19.433417882598,20,19.290551449855,22.4534615525369,20.9724405072708,IV
81,AXL70,18.5932260698361,22.4,18.7322247494925,22.1692596234277,20.4912382729886,IV
82,AXL70,16.9989304521774,25.8,14.9320130425662,18.4050614866602,16.6024889958358,IV
83,AXL70,17.9728024444045,26.3,16.0308184051161,19.6542842134342,17.9899216673782,IV
84,AXL70,17.1421771233556,30.3,14.2772683711575,17.2062413059522,15.747350962615,IV
85,AXL70,17.1421771233556,32.9,16.5577760249784,19.6805052560013,17.8162641381835,IV
86,AXL77,16.3817762256559,2.5,16.3870638687405,21.530674435441,18.8118497582015,VI
87,AXL77,16.3817762256559,2.7,16.4662128378699,22.3325889413463,19.7309578731551,VI
88,AXL77,16.0827208929026,5.7,14.882333806617,19.4290352557583,17.1838982867793,VI
89,AXL77,15.1367611760637,8.5,13.557746215695,17.5152296619344,15.5487325699457,VI
90,AXL77,14.3228135593846,9.1,9.7013917028702,14.4613272804405,11.9866363753389,VI
91,AXL77,13.6903141123873,12.1,10.0149927781932,13.3103040460262,11.48706543708,VI
92,AXL77,14.5431854797585,13.6,9.89127851147286,13.4450663723653,11.7203542129443,VI
93,AXL77,15.5342029310117,13.8,14.0880730724836,18.3729971239723,16.2947684184315,VI
94,AXL77,15.6858000175072,17.5,13.9396575018333,16.4901275590264,15.2855820484401,VI
95,AXL77,16.1818725745566,18.7,15.2557345763686,18.7315306860606,16.8889010614471,VI
96,AXL77,16.6012428652417,22.3,16.0400217376153,19.0443369410989,17.6063870752914,VI
97,AXL77,15.4154115424505,25.1,12.3091430190132,15.3959394661253,13.8752847898974,VI
98,AXL77,16.1604338842187,29.1,14.2251445430374,17.7794613264003,15.9569655771196,VI
99,AXL77,15.5650168197367,30.7,12.6794019940508,16.0263586245291,14.3561073479657,VI
100,AXL77,15.5813667577932,34.6,13.2604731588067,16.9750348276588,14.9592945124331,VI
101,AXL77,15.5813667577932,37.1,15.5548764345057,18.2760621300976,16.8804907490011,VI
102,AXL86,15.5922553207148,2.7,14.8464780857028,16.7973957459352,15.8368829049228,VI
103,AXL86,15.5922553207148,6.5,12.6630077541671,15.4649165484609,14.1098639134978,VI
104,AXL86,15.6216912961807,9.5,10.4709201372558,13.6197865293615,12.1126450253836,VI
105,AXL86,15.7055200842432,9.7,11.2187048615598,15.8352639285164,13.3675259845674,VI
106,AXL86,17.2812932716538,12.7,13.6863921763393,16.4176866437309,14.8403987361736,VI
107,AXL86,18.3340303412808,14.6,16.0235135755678,19.7267351691745,17.5233874160234,VI
108,AXL86,18.5108191448965,16.5,18.091558722514,21.1656942949417,19.5594767997944,VI
109,AXL86,18.2904593179456,17.7,18.9580429136158,22.2681682250954,20.6358056918111,VI
110,AXL86,17.1584667927211,21.5,17.0682971562388,19.7578668077518,18.3411843081292,VI
111,AXL86,16.8305259265311,21.7,14.7015179228384,17.9579315819032,16.3893233550253,VI
112,AXL86,16.7129029994912,25.1,15.7366992125472,18.3564699994162,17.1107807936144,VI
113,AXL86,16.4748544666478,28.6,15.2340061521022,18.7180912629764,17.0302248090343,VI
114,AXL86,16.2956485119373,32,15.935447834284,18.3055964332369,17.0649233205903,VI
115,AXL86,16.2102413724011,33.7,14.7553039247909,17.8808413263314,16.3947566998255,VI
116,AXL86,16.3654761478952,34.6,14.7199366673082,17.0883951640852,15.8764402470227,VI
117,AXL86,16.3838003128405,36.3,14.5450654801463,17.1497519114996,15.9054269467045,VI
118,AXL86,16.8696734890648,39.6,15.7014502442485,18.6322410916092,17.3824203752673,VI
119,AXL86,16.628306892125,42,14.8150477344024,17.7052197736611,16.1945140416611,VI
120,AXL86,16.6725577817231,46,14.8620596250082,17.6457034092786,16.2350274821994,VI
121,AXL86,16.6725577817231,48.7,14.8196276815974,16.6435557436398,15.6659738192174,VI
